sz.év.;Kategória;nem;1.nap összidõ;2.nap összidõ;3.nap összidõ;4.nap összidõ;eredmény;Megtett táv (km);befejezte;eredmény(perc);átlagos tempó (perc/km);sebesség kategória
1979.0;N2;N;0 days 05:40:51;0 days 06:19:41;0 days 05:11:14;0 days 06:09:55;0 days 23:21:41;196.0;True;1401.0;7.1479591836734695;lassú
1963.0;F4;F;0 days 05:38:01;0 days 06:24:16;0 days 05:05:49;0 days 06:13:48;0 days 23:21:54;196.0;True;1401.0;7.1479591836734695;lassú
1960.0;F4;F;0 days 05:09:15;0 days 06:24:19;0 days 05:21:55;0 days 06:34:53;0 days 23:30:22;196.0;True;1410.0;7.1938775510204085;lassú
1970.0;F3;F;0 days 05:39:04;0 days 06:27:13;0 days 05:12:49;0 days 06:12:20;0 days 23:31:26;196.0;True;1411.0;7.198979591836735;lassú
1981.0;F2;F;0 days 05:25:33;0 days 06:41:23;0 days 05:14:41;0 days 06:13:46;0 days 23:35:23;196.0;True;1415.0;7.219387755102041;lassú
1967.0;F4;F;0 days 05:06:54;0 days 06:50:16;0 days 05:13:39;0 days 06:24:49;0 days 23:35:38;196.0;True;1415.0;7.219387755102041;lassú
1977.0;N2;N;0 days 05:06:52;0 days 06:50:20;0 days 05:13:43;0 days 06:24:49;0 days 23:35:44;196.0;True;1415.0;7.219387755102041;lassú
1966.0;N3;N;0 days 05:31:58;0 days 06:27:11;0 days 05:13:52;0 days 06:25:30;0 days 23:38:31;196.0;True;1418.0;7.23469387755102;lassú
1962.0;F4;F;0 days 05:23:26;0 days 06:18:43;0 days 05:16:59;0 days 06:52:31;0 days 23:51:39;196.0;True;1431.0;7.301020408163265;lassú
1977.0;F3;F;0 days 05:37:39;0 days 06:48:33;0 days 05:23:38;0 days 06:07:39;0 days 23:57:29;196.0;True;1437.0;7.331632653061225;lassú
1964.0;F4;F;0 days 05:52:52;0 days 06:48:04;0 days 04:57:54;0 days 06:18:47;0 days 23:57:37;196.0;True;1437.0;7.331632653061225;lassú
1973.0;F3;F;0 days 05:14:51;0 days 06:48:43;0 days 05:28:56;0 days 06:39:06;0 days 23:11:36;196.0;True;1391.0;7.096938775510204;lassú
1974.0;F3;F;0 days 05:37:53;0 days 06:29:48;0 days 05:14:02;0 days 06:50:48;0 days 23:12:31;196.0;True;1392.0;7.1020408163265305;lassú
1976.0;F3;F;0 days 05:44:47;0 days 06:32:58;0 days 05:17:36;0 days 06:39:21;0 days 23:14:42;196.0;True;1394.0;7.112244897959184;lassú
1969.0;F3;F;0 days 05:51:42;0 days 06:31:13;0 days 05:23:54;0 days 06:28:17;0 days 23:15:06;196.0;True;1395.0;7.11734693877551;lassú
1969.0;F4;F;0 days 05:32:00;0 days 06:41:53;0 days 05:19:27;0 days 06:50:27;0 days 23:23:47;196.0;True;1403.0;7.158163265306122;lassú
1987.0;F1;F;0 days 05:46:58;0 days 06:37:07;0 days 05:26:29;0 days 06:36:24;0 days 23:26:58;196.0;True;1406.0;7.173469387755102;lassú
1973.0;F3;F;0 days 05:47:01;0 days 06:42:45;0 days 05:26:35;0 days 06:36:02;0 days 23:32:23;196.0;True;1412.0;7.204081632653061;lassú
1985.0;F1;F;0 days 05:55:12;0 days 06:34:36;0 days 05:34:19;0 days 06:30:03;0 days 23:34:10;196.0;True;1414.0;7.214285714285714;lassú
1970.0;F3;F;0 days 05:02:52;0 days 06:46:10;0 days 05:34:07;0 days 07:20:28;0 days 23:43:37;196.0;True;1423.0;7.260204081632653;lassú
1986.0;F1;F;0 days 05:24:27;0 days 06:27:20;0 days 05:28:53;0 days 07:23:57;0 days 23:44:37;196.0;True;1424.0;7.26530612244898;lassú
1974.0;F3;F;0 days 04:51:42;0 days 06:38:55;0 days 06:04:54;0 days 07:19:07;0 days 23:54:38;196.0;True;1434.0;7.316326530612245;lassú
1983.0;F2;F;0 days 05:56:13;0 days 06:48:09;0 days 05:31:45;0 days 06:38:39;0 days 23:54:46;196.0;True;1434.0;7.316326530612245;lassú
1978.0;F3;F;0 days 05:53:58;0 days 07:14:38;0 days 05:59:11;0 days 06:09:16;1 days 00:17:03;196.0;True;1457.0;7.433673469387755;lassú
1950.0;F5;F;0 days 05:39:47;0 days 07:01:15;0 days 05:45:52;0 days 07:15:08;1 days 00:42:02;196.0;True;1482.0;7.561224489795919;lassú
1969.0;N2;N;0 days 05:51:24;0 days 07:01:36;0 days 05:45:31;0 days 07:04:05;1 days 00:42:36;196.0;True;1482.0;7.561224489795919;lassú
1974.0;F3;F;0 days 06:00:59;0 days 07:05:18;0 days 05:57:01;0 days 06:40:00;1 days 00:43:18;196.0;True;1483.0;7.566326530612245;lassú
1968.0;N3;N;0 days 05:32:36;0 days 06:42:16;0 days 06:00:48;0 days 07:28:21;1 days 00:44:01;196.0;True;1484.0;7.571428571428571;lassú
1971.0;F3;F;0 days 05:51:22;0 days 07:05:29;0 days 05:45:38;0 days 07:02:21;1 days 00:44:50;196.0;True;1484.0;7.571428571428571;lassú
1966.0;F4;F;0 days 06:00:50;0 days 07:02:07;0 days 05:44:14;0 days 07:03:10;1 days 00:50:21;196.0;True;1490.0;7.6020408163265305;lassú
1978.0;F3;F;0 days 05:35:11;0 days 06:46:29;0 days 06:05:28;0 days 07:25:31;1 days 00:52:39;196.0;True;1492.0;7.612244897959184;lassú
1950.0;F5;F;0 days 06:03:24;0 days 07:01:07;0 days 05:45:44;0 days 07:15:00;1 days 01:05:15;196.0;True;1505.0;7.678571428571429;lassú
1966.0;N3;N;0 days 06:10:12;0 days 07:07:32;0 days 05:49:03;0 days 07:00:36;1 days 01:07:23;196.0;True;1507.0;7.688775510204081;lassú
1968.0;F4;F;0 days 05:55:40;0 days 07:09:18;0 days 05:58:47;0 days 07:10:45;1 days 01:14:30;196.0;True;1514.0;7.724489795918367;lassú
1985.0;F1;F;0 days 06:01:13;0 days 07:09:10;0 days 05:58:47;0 days 07:10:38;1 days 01:19:48;196.0;True;1519.0;7.75;lassú
1958.0;F5;F;0 days 06:03:28;0 days 07:14:21;0 days 05:59:43;0 days 07:14:55;1 days 01:32:27;196.0;True;1532.0;7.816326530612245;lassú
1981.0;F2;F;0 days 05:56:21;0 days 07:27:52;0 days 06:04:48;0 days 07:08:46;1 days 01:37:47;196.0;True;1537.0;7.841836734693878;lassú
1972.0;F3;F;0 days 05:21:58;0 days 06:50:09;0 days 06:05:16;;0 days 18:17:23;145.0;False;1097.0;7.56551724137931;lassú
1977.0;F3;F;0 days 03:32:59;0 days 04:07:09;;;0 days 07:40:08;101.0;False;460.0;4.554455445544554;gyors
1968.0;F4;F;;0 days 07:37:02;;0 days 07:24:20;0 days 15:01:22;104.0;False;901.0;8.663461538461538;lassú
1981.0;F2;F;0 days 04:54:35;;;;0 days 04:54:35;48.0;False;294.0;6.125;közepes
1970.0;F3;F;0 days 06:10:32;;;;0 days 06:10:32;48.0;False;370.0;7.708333333333333;lassú
1960.0;F4;F;0 days 06:10:16;;;;0 days 06:10:16;80.0;False;370.0;4.625;gyors
1981.0;F2;F;0 days 05:48:27;;;0 days 05:53:21;0 days 11:41:48;99.0;False;701.0;7.08080808080808;lassú
1993.0;F1;F;0 days 04:38:19;0 days 06:39:48;0 days 05:46:40;;0 days 17:04:47;161.0;False;1024.0;6.3602484472049685;közepes
1983.0;F2;F;0 days 05:33:47;;0 days 05:12:41;0 days 06:18:43;0 days 17:05:11;143.0;False;1025.0;7.1678321678321675;lassú
1965.0;F4;F;0 days 04:44:09;0 days 05:33:53;;;0 days 10:18:02;101.0;False;618.0;6.118811881188119;közepes
1979.0;F2;F;0 days 04:44:15;0 days 05:22:29;;;0 days 10:06:44;114.0;False;606.0;5.315789473684211;gyors
1974.0;F3;F;0 days 04:46:04;0 days 05:59:04;;;0 days 10:45:08;114.0;False;645.0;5.657894736842105;közepesen gyors
1983.0;F2;F;0 days 04:40:33;0 days 05:33:59;;;0 days 10:14:32;101.0;False;614.0;6.079207920792079;közepes
1976.0;F3;F;0 days 05:10:32;;;;0 days 05:10:32;64.0;False;310.0;4.84375;gyors
1968.0;F4;F;0 days 04:15:08;;;;0 days 04:15:08;48.0;False;255.0;5.3125;gyors
